TrackerCellLine,TrackerID
A704,A704_b1_P0
CALU1,CALU1_b1_P0
CALU6,CALU6_b2_P0
EBC1,EBC1_b1_P0
HCC827,HCC827_b1_P0
HCT116,HCT116_b1_P0
HS746T,HS746T_b1_P0
HT1376,HT1376_b1_P0
IM95,IM95_b1_P0
KYSE410,KYSE410_b1_P0
MKN45,MKN45_b1_P0
NCIH1373,NCIH1373_b1_P0
NCIH1650,NCIH1650_b2_P0
NCIH1993,NCI-H1993_b1_P0
NCIH2110,NCIH2110_b1_P0
NCIH2122,NCIH2122_b1_P0
NCIH292,NCIH292_b2_P0
NCIH520,NCIH520_b1_P0
NCIH596,NCIH596_b1_P0
NCIH820,NCIH820_b1_P0
SNU16,SNU16_b1_P0
SW48,SW48_b1_P0
SW1990,SW1990_b1_P0
SW900,SW900_b1_P0